name,price,rw
GREENBERRI G370,"₹1,299",
"POCO C31 (Royal Blue, 64 GB)","₹7,499","2,12,742 Ratings & 13,426 Reviews"
"POCO C31 (Shadow Gray, 64 GB)","₹7,499","2,12,742 Ratings & 13,426 Reviews"
"POCO C31 (Royal Blue, 32 GB)","₹6,499","1,40,202 Ratings & 8,867 Reviews"
"POCO C55 (Cool Blue, 64 GB)","₹8,499","5,459 Ratings & 283 Reviews"
"POCO M4 Pro (Cool Blue, 128 GB)","₹12,999","1,60,613 Ratings & 14,289 Reviews"
"POCO C55 (Power Black, 64 GB)","₹8,499","5,459 Ratings & 283 Reviews"
"POCO C55 (Power Black, 128 GB)","₹9,999","3,380 Ratings & 134 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹7,749","8,923 Ratings & 837 Reviews"
"POCO C55 (Cool Blue, 128 GB)","₹9,999","3,380 Ratings & 134 Reviews"
"MOTOROLA g72 (Meteorite Grey, 128 GB)","₹14,999","12,716 Ratings & 1,714 Reviews"
"realme C30 (Denim Black, 32 GB)","₹5,999","95,166 Ratings & 5,121 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹5,999","95,166 Ratings & 5,121 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹5,999","95,166 Ratings & 5,121 Reviews"
"POCO C55 (Forest Green, 64 GB)","₹8,499","5,459 Ratings & 283 Reviews"
Nokia 105 SS,"₹1,299","35,103 Ratings & 2,385 Reviews"
"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999","1,187 Ratings & 41 Reviews"
"realme C30 (Denim Black, 32 GB)","₹6,999","44,364 Ratings & 2,829 Reviews"
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999","1,187 Ratings & 41 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹6,999","44,364 Ratings & 2,829 Reviews"
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹8,499","76,681 Ratings & 7,123 Reviews"
"POCO C55 (Forest Green, 128 GB)","₹9,999","3,380 Ratings & 134 Reviews"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹15,499","23,091 Ratings & 2,134 Reviews"
"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,499","7,705 Ratings & 486 Reviews"
"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,499","7,705 Ratings & 486 Reviews"
"POCO C31 (Shadow Gray, 32 GB)","₹6,499","1,40,202 Ratings & 8,867 Reviews"
"MOTOROLA g52 (Charcoal Grey, 64 GB)","₹10,999","13,886 Ratings & 1,538 Reviews"
